iteration,basis,denominator,element,id,level,H,boundary,transition,Q_gradient,Q_energy,mass_rank,mass_condition,stiffness_hermitian_defect,mass_hermitian_defect,eigen_residual,energy_identity_error,patch_elements,patch_diameter_over_H,x,y
0,coarse,element,0,1,3,0.5,0,0,8.4852813742385855,8.5440037453175464,3,4.0000000000000124,0,0,4.5065699989652724e-16,0,1,1,0.41666666666666669,0.25
0,coarse,element,1,2,3,0.5,0,0,8.4852813742385855,8.5440037453175464,3,4.0000000000000124,0,0,4.5065699989652724e-16,0,1,1,0.58333333333333337,0.75
0,coarse,element,2,3,3,0.5,0,0,8.4852813742385855,8.5440037453175464,3,4.0000000000000124,0,0,4.5065699989652724e-16,0,1,1,0.25,0.58333333333333337
0,coarse,element,3,4,3,0.5,0,0,8.4852813742385855,8.5440037453175464,3,4.0000000000000124,0,0,4.5065699989652724e-16,0,1,1,0.75,0.41666666666666669
0,coarse,element,4,5,3,0.5,1,0,8.4852813742385855,8.5440037453175464,3,4.0000000000000124,0,0,4.5065699989652724e-16,0,1,1,0.75,0.083333333333333329
0,coarse,element,5,6,3,0.5,1,0,8.4852813742385855,8.5440037453175464,3,4.0000000000000124,0,0,4.5065699989652724e-16,0,1,1,0.25,0.91666666666666663
0,coarse,element,6,7,3,0.5,1,0,8.4852813742385855,8.5440037453175464,3,4.0000000000000124,0,0,4.5065699989652724e-16,0,1,1,0.083333333333333329,0.25
0,coarse,element,7,8,3,0.5,1,0,8.4852813742385855,8.5440037453175464,3,4.0000000000000124,0,0,4.5065699989652724e-16,0,1,1,0.91666666666666663,0.75
0,coarse,element,8,9,3,0.5,1,0,8.4852813742385855,8.5440037453175464,3,4.0000000000000151,0,0,5.205245956471159e-16,0,1,1,0.25,0.083333333333333329
0,coarse,element,9,10,3,0.5,1,0,8.4852813742385855,8.5440037453175464,3,4.0000000000000151,0,0,5.205245956471159e-16,0,1,1,0.75,0.91666666666666663
0,coarse,element,10,11,3,0.5,1,0,8.4852813742385855,8.5440037453175464,3,4.0000000000000151,0,0,5.205245956471159e-16,0,1,1,0.083333333333333329,0.75
0,coarse,element,11,12,3,0.5,1,0,8.4852813742385855,8.5440037453175464,3,4.0000000000000151,0,0,5.205245956471159e-16,0,1,1,0.91666666666666663,0.25
0,coarse,element,12,13,3,0.5,0,0,8.4852813742385855,8.5440037453175464,3,4.0000000000000151,0,0,5.205245956471159e-16,0,1,1,0.58333333333333337,0.25
0,coarse,element,13,14,3,0.5,0,0,8.4852813742385855,8.5440037453175464,3,4.0000000000000151,0,0,5.205245956471159e-16,0,1,1,0.41666666666666669,0.75
0,coarse,element,14,15,3,0.5,0,0,8.4852813742385855,8.5440037453175464,3,4.0000000000000151,0,0,5.205245956471159e-16,0,1,1,0.25,0.41666666666666669
0,coarse,element,15,16,3,0.5,0,0,8.4852813742385855,8.5440037453175464,3,4.0000000000000151,0,0,5.205245956471159e-16,0,1,1,0.75,0.58333333333333337
0,coarse,patch1,0,1,3,0.5,0,0,3.6044828737838221,3.6308551802159177,11,11.541410268361563,0,0,6.4784951112813268e-16,0,11,2.2360679774997898,0.41666666666666669,0.25
0,coarse,patch1,1,2,3,0.5,0,0,3.6044828737838226,3.6308551802159204,11,11.541410268361586,0,0,5.7075298028305622e-16,0,11,2.2360679774997898,0.58333333333333337,0.75
0,coarse,patch1,2,3,3,0.5,0,0,3.6044828737838221,3.6308551802159181,11,11.541410268361595,0,0,3.3028573562210179e-16,0,11,2.2360679774997898,0.25,0.58333333333333337
0,coarse,patch1,3,4,3,0.5,0,0,3.6044828737838239,3.630855180215919,11,11.541410268361572,0,0,6.5464350352434327e-16,0,11,2.2360679774997898,0.75,0.41666666666666669
0,coarse,patch1,4,5,3,0.5,1,0,4.2811750887123088,4.3161062710517815,7,8.373638996177581,0,0,3.0272790590529103e-16,0,6,2.2360679774997898,0.75,0.083333333333333329
0,coarse,patch1,5,6,3,0.5,1,0,4.2811750887123079,4.3161062710517797,7,8.3736389961775952,0,0,2.3590715352112423e-16,0,6,2.2360679774997898,0.25,0.91666666666666663
0,coarse,patch1,6,7,3,0.5,1,0,4.2811750887123106,4.3161062710517832,7,8.3736389961775757,0,0,6.5890659382209786e-16,0,6,2.2360679774997898,0.083333333333333329,0.25
0,coarse,patch1,7,8,3,0.5,1,0,4.2811750887123088,4.3161062710517815,7,8.373638996177581,0,0,3.0272790590529103e-16,0,6,2.2360679774997898,0.91666666666666663,0.75
0,coarse,patch1,8,9,3,0.5,1,0,4.2811750887123079,4.3161062710517815,7,8.3736389961775863,0,0,4.5868600478875734e-16,0,6,2.2360679774997898,0.25,0.083333333333333329
0,coarse,patch1,9,10,3,0.5,1,0,4.2811750887123079,4.3161062710517824,7,8.3736389961775686,0,0,6.7405644819767056e-16,0,6,2.2360679774997898,0.75,0.91666666666666663
0,coarse,patch1,10,11,3,0.5,1,0,4.2811750887123079,4.3161062710517824,7,8.3736389961775739,0,0,4.7051069812459906e-16,0,6,2.2360679774997898,0.083333333333333329,0.75
0,coarse,patch1,11,12,3,0.5,1,0,4.2811750887123079,4.3161062710517824,7,8.3736389961775686,0,0,6.7405644819767056e-16,0,6,2.2360679774997898,0.91666666666666663,0.25
0,coarse,patch1,12,13,3,0.5,0,0,3.6044828737838208,3.6308551802159172,11,11.54141026836159,0,0,3.2034985733176195e-16,0,11,2.2360679774997898,0.58333333333333337,0.25
0,coarse,patch1,13,14,3,0.5,0,0,3.6044828737838221,3.6308551802159172,11,11.541410268361606,0,0,3.86848522953156e-16,0,11,2.2360679774997898,0.41666666666666669,0.75
0,coarse,patch1,14,15,3,0.5,0,0,3.6044828737838226,3.6308551802159204,11,11.541410268361608,0,0,5.032371181272873e-16,0,11,2.2360679774997898,0.25,0.41666666666666669
